Country,Code,Year,Coal,Fossil-fuels,Gas,Hydro,Low-carbon,Nuclear,Oil,Renewables,Solar,Solar-wind,Wind,Geothermal,Total-electricity-produced
Kenya,KEN,2000,0.0,2.57,0.0,1.31,1.74,0.0,2.57,1.74,0.0,0.0,0.0,0.43,4.31
Kenya,KEN,2001,0.0,1.95,0.0,2.38,2.86,0.0,1.95,2.86,0.0,0.0,0.0,0.48,4.81
Kenya,KEN,2002,0.0,1.2,0.0,3.09,3.95,0.0,1.2,3.95,0.0,0.0,0.0,0.86,5.15
Kenya,KEN,2003,0.0,0.99,0.0,3.23,4.49,0.0,0.99,4.49,0.0,0.0,0.0,1.26,5.48
Kenya,KEN,2004,0.0,1.82,0.0,2.84,4.34,0.0,1.82,4.34,0.0,0.0,0.0,1.5,6.16
Kenya,KEN,2005,0.0,2.23,0.0,3.0,4.47,0.0,2.23,4.47,0.0,0.0,0.0,1.47,6.7
Kenya,KEN,2006,0.0,2.79,0.0,3.24,4.72,0.0,2.79,4.72,0.0,0.0,0.0,1.48,7.51
Kenya,KEN,2007,0.0,1.73,0.0,3.45,4.94,0.0,1.73,4.94,0.0,0.0,0.0,1.49,6.67
Kenya,KEN,2008,0.0,1.68,0.0,2.82,4.47,0.0,1.68,4.47,0.0,0.0,0.0,1.65,6.15
Kenya,KEN,2009,0.0,2.58,0.0,2.15,3.97,0.0,2.58,3.97,0.0,0.01,0.01,1.81,6.55
Kenya,KEN,2010,0.0,1.83,0.0,3.39,5.33,0.0,1.83,5.33,0.0,0.02,0.02,1.92,7.16
Kenya,KEN,2011,0.0,2.41,0.0,3.42,5.42,0.0,2.41,5.42,0.01,0.03,0.02,1.97,7.83
Kenya,KEN,2012,0.0,1.84,0.0,4.26,6.33,0.0,1.84,6.33,0.01,0.02,0.01,2.05,8.17
Kenya,KEN,2013,0.0,1.75,0.0,3.91,6.33,0.0,1.75,6.33,0.03,0.04,0.01,2.38,8.08
Kenya,KEN,2014,0.0,2.17,0.0,3.28,7.03,0.0,2.17,7.03,0.05,0.07,0.02,3.68,9.2
Kenya,KEN,2015,0.0,1.0,0.0,3.75,8.81,0.0,1.0,8.81,0.05,0.11,0.06,4.95,9.81
Kenya,KEN,2016,0.0,1.04,0.0,3.31,8.64,0.0,1.04,8.64,0.06,0.12,0.06,5.21,9.68
Kenya,KEN,2017,0.0,2.07,0.0,3.17,8.76,0.0,2.07,8.76,0.07,0.13,0.06,5.46,10.83
Kenya,KEN,2018,0.0,1.55,0.0,3.99,9.75,0.0,1.55,9.75,0.09,0.47,0.38,5.29,11.3
Kenya,KEN,2019,0.0,1.31,0.0,3.21,10.25,0.0,1.31,10.25,0.09,1.65,1.56,5.39,11.56
Kenya,KEN,2020,0.0,0.75,0.0,4.23,10.93,0.0,0.75,10.93,0.09,1.4200001,1.33,5.28,11.68
Kenya,KEN,2021,0.0,1.26,0.0,3.67,11.12,0.0,1.26,11.12,0.17,2.16,1.99,5.29,12.38
Kenya,KEN,2022,0.0,1.58,0.0,3.04,11.38,0.0,1.58,11.38,0.42,2.5600002,2.14,5.78,12.96
Kenya,KEN,2023,0.0,1.3,0.0,2.67,11.49,0.0,1.3,11.49,0.58,2.59,2.01,6.23,12.79
Kenya,KEN,2024,0.0,1.04,0.0,3.61,11.81,0.0,1.04,11.81,0.55,2.36,1.81,5.84,12.85
